Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Purpose of Use,Number of Platforms Used,Device Used Most,Parental Monitoring,Academic Performance,Daily Study Hours,Year of Study,Region,Year_Of_Admission
29,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3,Other,5,Laptop,Yes,Average,1,2nd Year,North,2022
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8,News,4,Laptop,Sometimes,Good,4,1st Year,Central,2024
31,21,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5,Socializing,4,Mobile,Sometimes,Average,2,2nd Year,East,2021
32,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7,Socializing,4,Tablet,No,Good,4,4th Year,Central,2025
33,18,Male,High School,Indonesia,5.4,Whatsapp,Yes,5.4,5,Complicated,4,8,Entertainment,5,Desktop,No,Average,3,4th Year,East,2022
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4,Education,1,Laptop,Sometimes,Poor,3,2nd Year,North,2022
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7,Education,3,Mobile,No,Poor,4,1st Year,North,2023
36,20,Female,Undergraduate,Turkey,5.6,Whatsapp,Yes,5.5,5,Complicated,4,8,Other,4,Tablet,Yes,Excellent,1,1st Year,West,2023
37,22,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1,5,Other,3,Laptop,Yes,Average,2,3rd Year,North,2023
38,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4,9,Entertainment,4,Mobile,Yes,Excellent,1,1st Year,East,2021
39,21,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Complicated,2,6,Socializing,1,Desktop,Yes,Average,3,1st Year,South,2020
40,20,Female,Undergraduate,Morocco,4.5,Whatsapp,Yes,5.8,6,Single,3,7,Entertainment,2,Tablet,Sometimes,Poor,5,3rd Year,North,2022
41,24,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,In Relationship,1,4,Education,4,Laptop,Sometimes,Average,4,1st Year,East,2022
42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8,Education,2,Mobile,Yes,Excellent,3,3rd Year,Central,2021
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5,Socializing,3,Mobile,Sometimes,Average,4,4th Year,Central,2021
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7,News,5,Tablet,Yes,Poor,5,4th Year,South,2022
45,18,Male,High School,Argentina,5.5,Whatsapp,Yes,5.3,5,Single,4,8,Other,4,Laptop,No,Poor,3,1st Year,North,2021
46,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4,Entertainment,5,Desktop,Sometimes,Average,5,3rd Year,West,2024
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7,Entertainment,1,Desktop,Yes,Average,1,1st Year,Central,2025
48,20,Female,Undergraduate,Peru,5.5,Whatsapp,Yes,5.6,5,Single,4,8,Other,1,Tablet,Sometimes,Average,5,2nd Year,West,2020
49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5,Education,2,Tablet,No,Excellent,4,4th Year,Central,2024
50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4,9,Education,1,Tablet,Yes,Average,1,4th Year,North,2023
51,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2,6,Other,4,Desktop,Yes,Excellent,1,1st Year,South,2023
52,20,Female,Undergraduate,Paraguay,4.7,Whatsapp,Yes,5.8,6,In Relationship,3,7,Education,4,Desktop,No,Excellent,4,4th Year,North,2023
53,24,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Complicated,1,4,Socializing,4,Mobile,No,Excellent,3,2nd Year,East,2024
54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4,8,Other,1,Desktop,Sometimes,Excellent,3,3rd Year,East,2021
55,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2,5,Education,3,Tablet,No,Average,1,2nd Year,North,2025
56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3,7,Education,4,Laptop,No,Good,4,1st Year,North,2021
57,18,Male,High School,Trinidad,5.6,Whatsapp,Yes,5.2,5,Single,4,8,Socializing,2,Laptop,Yes,Good,4,1st Year,Central,2020
58,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7,8,In Relationship,1,4,Education,4,Tablet,Sometimes,Average,3,4th Year,South,2024
59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3,7,Other,1,Desktop,No,Poor,5,3rd Year,Central,2020
60,20,Female,Undergraduate,Finland,5.4,Whatsapp,Yes,5.7,5,Single,4,8,Education,3,Desktop,Sometimes,Poor,5,1st Year,North,2025
61,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1,5,Entertainment,2,Laptop,Sometimes,Good,3,1st Year,West,2024
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8,News,2,Mobile,Yes,Average,3,4th Year,West,2025
63,20,Male,Undergraduate,Hungary,4.2,Whatsapp,Yes,6,6,Complicated,3,7,Socializing,5,Mobile,Sometimes,Poor,4,1st Year,West,2022
64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4,9,News,5,Desktop,Yes,Good,4,2nd Year,East,2025
65,23,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,In Relationship,1,3,Education,4,Tablet,No,Good,2,3rd Year,North,2024
66,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3,7,Entertainment,2,Laptop,No,Average,1,4th Year,Central,2020
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6,Education,5,Mobile,Sometimes,Poor,5,3rd Year,West,2020
68,19,Female,High School,Slovenia,5.7,Whatsapp,Yes,5.4,5,In Relationship,4,8,News,5,Laptop,No,Average,1,4th Year,North,2025
69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4,News,1,Desktop,No,Average,5,1st Year,North,2023
70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7,Other,2,Laptop,Sometimes,Poor,2,1st Year,West,2020
71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8,Education,1,Laptop,Yes,Excellent,3,2nd Year,South,2021
72,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5,Education,1,Desktop,Sometimes,Poor,3,3rd Year,East,2020
73,19,Male,Undergraduate,Ukraine,4.9,Whatsapp,Yes,5.7,6,Complicated,3,7,Education,5,Laptop,No,Poor,2,4th Year,North,2022
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8,Other,4,Tablet,No,Average,5,3rd Year,Central,2022
75,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,Entertainment,4,Laptop,Yes,Excellent,5,1st Year,West,2020
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7,Socializing,5,Laptop,Yes,Average,4,4th Year,Central,2025
77,19,Male,High School,Uzbekistan,5.5,Whatsapp,Yes,5.4,5,Complicated,4,8,Other,2,Laptop,No,Poor,4,2nd Year,West,2025
78,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7,7,In Relationship,2,5,Other,5,Desktop,Yes,Poor,5,3rd Year,Central,2025
79,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3,7,News,5,Mobile,Sometimes,Excellent,5,2nd Year,North,2023
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9,Entertainment,4,Tablet,No,Good,4,1st Year,South,2022
81,21,Male,Graduate,Georgia,3,LinkedIn,No,7.1,8,In Relationship,1,4,Education,2,Laptop,No,Poor,5,3rd Year,South,2025
82,19,Female,Undergraduate,Azerbaijan,4.8,Whatsapp,Yes,5.7,6,Single,3,7,Socializing,3,Tablet,Sometimes,Average,2,3rd Year,North,2025
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6,Other,1,Laptop,Sometimes,Good,5,4th Year,South,2024
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4,Education,2,Laptop,Yes,Average,3,3rd Year,Central,2021
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8,News,2,Tablet,Yes,Average,1,2nd Year,South,2022
86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7,Education,1,Laptop,Sometimes,Average,2,3rd Year,Central,2025
87,19,Male,High School,Andorra,5.3,Whatsapp,Yes,5.5,5,In Relationship,4,8,Other,2,Mobile,Yes,Poor,5,2nd Year,Central,2022
88,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4,Other,4,Tablet,No,Excellent,5,3rd Year,South,2025
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6,6,Complicated,3,7,Education,4,Desktop,Sometimes,Excellent,3,3rd Year,Central,2025
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9,Other,2,Mobile,Sometimes,Average,3,4th Year,North,2021
91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7,7,In Relationship,2,5,News,2,Mobile,Sometimes,Poor,3,4th Year,North,2020
92,19,Female,Undergraduate,Albania,4.7,Whatsapp,Yes,5.8,6,Complicated,3,7,Education,5,Laptop,Sometimes,Average,1,2nd Year,North,2021
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6,Education,5,Laptop,No,Poor,5,4th Year,North,2023
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8,Socializing,4,Desktop,No,Good,1,1st Year,South,2020
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4,Education,4,Tablet,Yes,Poor,3,2nd Year,East,2024
96,19,Female,Undergraduate,Qatar,4.9,Whatsapp,Yes,5.7,6,Single,3,7,Other,5,Laptop,Yes,Average,2,4th Year,North,2020
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8,Education,5,Laptop,Sometimes,Average,5,1st Year,Central,2023
98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4,Education,4,Laptop,Sometimes,Excellent,5,1st Year,North,2021
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7,News,2,Desktop,Sometimes,Excellent,4,1st Year,East,2024
100,21,Female,Undergraduate,Jordan,5.4,Whatsapp,Yes,5.5,5,In Relationship,4,8,Entertainment,1,Mobile,Yes,Poor,1,2nd Year,North,2023
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9,News,3,Tablet,Sometimes,Excellent,5,3rd Year,West,2021
102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4,Other,4,Tablet,No,Average,4,1st Year,South,2024
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7,Entertainment,2,Tablet,Sometimes,Poor,2,4th Year,Central,2025
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8,Other,1,Tablet,Sometimes,Good,3,4th Year,North,2021
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7,7,Complicated,2,5,Socializing,5,Laptop,Yes,Excellent,3,4th Year,East,2021
106,19,Female,Undergraduate,Pakistan,4.8,Whatsapp,Yes,5.7,6,In Relationship,3,7,Education,2,Desktop,No,Excellent,1,1st Year,West,2021
107,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6,Entertainment,4,Laptop,Yes,Average,2,3rd Year,Central,2023
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8,News,3,Tablet,Sometimes,Poor,2,3rd Year,Central,2021
109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4,Socializing,5,Laptop,No,Good,5,1st Year,West,2024
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7,Other,4,Desktop,Sometimes,Good,3,2nd Year,North,2022
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8,News,3,Mobile,Yes,Good,3,3rd Year,Central,2021
112,21,Female,Undergraduate,India,5.8,Whatsapp,Yes,5.9,6,In Relationship,3,7,Education,4,Desktop,Yes,Average,5,1st Year,South,2024
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5,Education,2,Desktop,Yes,Poor,5,1st Year,North,2021
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6,5,Single,4,8,Other,1,Tablet,Yes,Good,3,1st Year,East,2025
115,20,Male,Undergraduate,Sri Lanka,5.2,Whatsapp,Yes,6.3,6,In Relationship,3,7,Other,3,Desktop,No,Good,5,4th Year,Central,2025
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5,Education,3,Mobile,No,Excellent,3,3rd Year,West,2023
117,21,Male,Graduate,Bangladesh,6,Facebook,Yes,5.8,5,In Relationship,4,8,Education,4,Mobile,No,Poor,2,2nd Year,West,2023
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7,Entertainment,5,Laptop,Sometimes,Poor,3,1st Year,West,2022
119,22,Male,Graduate,Nepal,4.7,Whatsapp,No,7.3,7,Single,2,5,Education,2,Tablet,Sometimes,Poor,2,2nd Year,East,2020
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8,Other,5,Tablet,Sometimes,Average,3,4th Year,East,2025
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7,Socializing,1,Mobile,Sometimes,Excellent,1,1st Year,South,2025
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5,Entertainment,5,Mobile,Yes,Average,3,2nd Year,East,2021
123,19,Male,Undergraduate,Bangladesh,5.3,Whatsapp,Yes,6.3,5,Single,4,8,Entertainment,1,Tablet,No,Good,2,4th Year,South,2020
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7,Education,2,Mobile,Sometimes,Poor,5,1st Year,North,2021
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5,News,3,Desktop,No,Good,2,4th Year,Central,2020
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8,Entertainment,1,Desktop,No,Poor,2,4th Year,East,2020
127,19,Male,Undergraduate,Sri Lanka,5.7,Whatsapp,Yes,5.7,6,Single,3,7,News,5,Desktop,No,Good,1,2nd Year,North,2022
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5,Other,5,Desktop,Yes,Poor,2,3rd Year,North,2020
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8,Socializing,4,Tablet,Sometimes,Poor,5,4th Year,West,2023
130,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,7,Socializing,1,Mobile,Sometimes,Excellent,1,4th Year,North,2023
131,19,Male,Undergraduate,Nepal,4.3,Whatsapp,No,7.7,7,Single,2,5,Entertainment,3,Desktop,Yes,Poor,4,2nd Year,East,2020
132,20,Female,Undergraduate,Pakistan,5,Instagram,Yes,6.6,5,In Relationship,4,8,Socializing,1,Tablet,Sometimes,Excellent,1,4th Year,East,2022
133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7,Entertainment,1,Mobile,No,Good,2,4th Year,South,2021
134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5,Other,4,Laptop,No,Excellent,1,4th Year,South,2020
135,19,Male,Undergraduate,Bangladesh,4.9,Whatsapp,Yes,6.7,5,Single,4,8,News,2,Laptop,Sometimes,Excellent,1,4th Year,Central,2025
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,7,Entertainment,2,Mobile,No,Excellent,2,1st Year,South,2020
137,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,5,Education,4,Tablet,No,Excellent,3,2nd Year,West,2021
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8,Entertainment,4,Mobile,Yes,Poor,1,3rd Year,South,2021
139,19,Male,Undergraduate,Sri Lanka,5.3,Whatsapp,Yes,5.3,6,Single,3,7,News,3,Desktop,Sometimes,Excellent,4,4th Year,Central,2020
140,20,Female,Undergraduate,Maldives,4,Instagram,No,8,8,In Relationship,2,5,News,3,Tablet,No,Poor,2,1st Year,West,2024
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8,Other,5,Desktop,No,Poor,1,1st Year,West,2020
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7,Entertainment,1,Mobile,No,Excellent,3,3rd Year,East,2022
143,19,Male,Undergraduate,Nepal,3.9,Whatsapp,No,8.1,7,Single,2,5,Entertainment,3,Desktop,Sometimes,Average,1,1st Year,North,2023
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7,5,In Relationship,4,8,Other,1,Laptop,Yes,Average,5,4th Year,West,2021
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7,Socializing,5,Laptop,Yes,Excellent,4,1st Year,Central,2020
146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5,Other,3,Laptop,No,Average,2,4th Year,South,2025
147,19,Male,Undergraduate,Bangladesh,4.5,Whatsapp,Yes,7.1,5,Single,4,8,News,1,Desktop,Yes,Average,1,1st Year,Central,2023
148,20,Female,Undergraduate,India,5,Instagram,Yes,5,6,In Relationship,3,7,News,3,Desktop,Yes,Poor,5,1st Year,West,2022
149,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,5,Socializing,4,Mobile,No,Good,1,2nd Year,North,2020
150,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,8,Socializing,3,Tablet,Yes,Average,4,4th Year,Central,2022
151,19,Male,Undergraduate,Sri Lanka,4.9,Whatsapp,Yes,4.9,6,Single,3,7,Socializing,5,Desktop,Yes,Excellent,2,4th Year,Central,2022
152,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2,5,Socializing,5,Desktop,Sometimes,Excellent,1,3rd Year,East,2022
153,22,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Single,4,8,Other,5,Desktop,No,Excellent,1,2nd Year,North,2023
154,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,7,Entertainment,5,Mobile,No,Excellent,5,2nd Year,North,2024
155,19,Male,Undergraduate,Nepal,3.5,Whatsapp,No,8.5,7,Single,2,5,Education,2,Laptop,Sometimes,Average,1,3rd Year,South,2025
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,8,Socializing,2,Mobile,Yes,Excellent,2,3rd Year,North,2025
157,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3,7,Other,3,Mobile,No,Excellent,2,1st Year,Central,2023
158,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,5,News,2,Laptop,No,Good,5,3rd Year,East,2021
159,19,Male,Undergraduate,Bangladesh,4.1,Whatsapp,Yes,7.5,5,Single,4,8,Entertainment,3,Desktop,No,Average,1,1st Year,Central,2021
160,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,In Relationship,3,7,Socializing,4,Laptop,Sometimes,Average,3,1st Year,South,2024
161,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Single,3,7,Entertainment,4,Laptop,Sometimes,Good,1,1st Year,South,2022
162,21,Male,Graduate,India,4.8,Facebook,No,7.2,7,In Relationship,2,6,News,3,Tablet,No,Excellent,4,3rd Year,West,2024
163,20,Female,Undergraduate,Nepal,5.5,Whatsapp,Yes,5.9,6,Single,4,8,News,4,Tablet,No,Excellent,5,4th Year,North,2025
164,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,7,Other,4,Tablet,No,Poor,5,3rd Year,East,2022
165,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7,7,Single,2,5,Education,1,Laptop,No,Average,4,3rd Year,East,2024
166,21,Male,Graduate,Maldives,5.4,Whatsapp,Yes,6,6,In Relationship,4,8,Education,4,Laptop,Sometimes,Excellent,2,1st Year,Central,2022
167,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Single,3,7,News,3,Desktop,Sometimes,Average,2,3rd Year,West,2023
168,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,6,Other,1,Tablet,Yes,Good,5,2nd Year,South,2022
169,19,Female,Undergraduate,Nepal,5.6,Whatsapp,Yes,5.8,6,Single,4,8,Other,1,Desktop,Yes,Average,1,3rd Year,West,2024
170,21,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,In Relationship,3,7,Education,3,Desktop,Sometimes,Excellent,5,2nd Year,South,2025
171,20,Female,Undergraduate,Sri Lanka,5,Facebook,No,7.3,7,Single,2,5,Socializing,2,Tablet,Yes,Average,4,1st Year,West,2023
172,22,Male,Graduate,Maldives,5.3,Whatsapp,Yes,5.7,6,In Relationship,4,8,Education,1,Desktop,Sometimes,Average,3,4th Year,Central,2020
173,19,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,Single,3,7,Socializing,4,Laptop,Yes,Average,2,1st Year,North,2022
174,21,Male,Graduate,India,5.1,Facebook,No,7.4,7,In Relationship,2,6,Other,1,Desktop,Yes,Average,1,1st Year,North,2022
175,20,Female,Undergraduate,Nepal,5.7,Whatsapp,Yes,5.6,6,Single,4,8,News,4,Laptop,No,Excellent,4,4th Year,Central,2023
176,22,Male,Graduate,Pakistan,4.5,Instagram,Yes,6.7,5,In Relationship,3,7,Socializing,2,Desktop,No,Average,3,2nd Year,South,2025
177,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2,5,Other,2,Desktop,Sometimes,Excellent,3,4th Year,Central,2024
178,21,Male,Graduate,Maldives,5.2,Whatsapp,Yes,5.5,6,In Relationship,4,8,Other,1,Laptop,Yes,Good,4,2nd Year,West,2022
